"GID","GeneticGroup","CBSDRS","DM","HI","logFYLD","logRTNO","logTOPYLD","MCBSDS","MCMDS"
"C2_GS_2018_1","UgGSC2",-0.313549128574542,1.24905008320022,-0.0341696067722572,-0.0691873547823166,0.0312852304051076,-0.0151655184737359,-0.0250022480391349,-0.021901154715552
"C2_GS_2018_10","UgGSC2",-0.483869892642965,2.15574187352758,-0.0129521504680215,0.273830528465793,0.173497852598352,0.139141729269383,-0.0528416186876766,-0.023299954244457
"C2_GS_2018_100","UgGSC2",-0.04374863671945,0.0440547096718039,-0.00153117153938709,-0.0179716519590391,-0.16281487433905,-0.103091966508693,-0.193237973435541,0.11446930917599
"C2_GS_2018_1001","UgGSC2",0.118291066722759,0.952268202387734,0.0458970444690766,0.327747918363211,0.166337599860144,0.105584804442258,-0.0142186112954982,0.0646763123644735
"C2_GS_2018_1007","UgGSC2",0.0636146178435482,0.234330797860342,-0.0107004620297622,-0.0347952906126433,0.128245949514694,-0.00211499782373278,-0.116984709724776,-0.000513959899051387
"C2_GS_2018_101","UgGSC2",-0.0435948004753523,-0.678630575976255,0.0299360054251814,0.0259511405366994,-0.298944251649955,-0.125882444922247,-0.0604315856897004,0.147611233660473
"C2_GS_2018_1011","UgGSC2",-0.113508970849458,0.524540314421959,-0.00771006458124812,0.0650097862927573,0.0921052286724915,0.0902211175887959,-0.109684110670845,0.0658984244814963
"C2_GS_2018_1015","UgGSC2",0.0157122066020537,0.310007457080832,-0.00535259504373338,-0.0283688482741147,-0.138067395171633,0.0355841222032633,0.00107905657286503,0.0312634990748168
"C2_GS_2018_1016","UgGSC2",0.0700811512396072,0.131603785059806,0.0192963918020605,0.0117670282520319,0.135245997869705,-0.00331614481141635,0.0642860575377475,-0.0581827442966845
"C2_GS_2018_102","UgGSC2",-0.0945727755048182,0.149922177386443,0.0423606679693961,0.167206460252813,-0.20735811219929,-0.0433064074557854,-0.365033341192671,0.089300405723902
"C2_GS_2018_1021","UgGSC2",0.517821858880916,-0.575564109093165,-0.00875818653366645,-0.0575332681425346,0.00635412773103925,0.0182322500162918,-0.0672433700508762,0.0781152965589954
"C2_GS_2018_1034","UgGSC2",0.363946892644536,0.389022129671192,-0.00831245037976848,-0.0289377207783441,0.0433217296934454,-0.00617645265075527,-0.360062907187393,0.0861441472900743
"C2_GS_2018_1035","UgGSC2",0.350271559231603,0.100767039865907,0.0177835209719794,0.0284288173451565,0.159137803326426,-0.019164894617186,-0.169972760235068,-0.00827789817516304
"C2_GS_2018_1046","UgGSC2",0.0358026261331447,0.726333112658778,0.0360655694966626,0.304649762287607,0.311297554526684,0.0928753083249229,0.268472258977259,0.239757736555481
"C2_GS_2018_1048","UgGSC2",0.141597883466109,0.0635932234622266,-0.0462617140761191,-0.185373431361968,-0.0920011383762826,0.0384502232388112,0.115848242210866,0.120186480019409
"C2_GS_2018_105","UgGSC2",-0.0677808981853586,-0.568699731266481,0.00195050421432587,-0.0762418591407188,-0.255401750131644,-0.135985388202421,-0.0691439028866571,0.111034079395273
"C2_GS_2018_1050","UgGSC2",-0.0280890461406412,0.394328097419817,-0.00775100241241089,-0.124878611103224,0.171751310513582,-0.0440461394205979,-0.12911366496866,-0.208073504050426
"C2_GS_2018_1056","UgGSC2",-0.0931714067007289,0.296548881316199,-0.0173663718940224,-0.125763715474506,-0.0889529019843948,-0.00778715143597103,-0.0710275228192005,0.339255894731146
"C2_GS_2018_1061","UgGSC2",-0.00390202695322747,-0.395475059217531,-0.0109292523206701,-0.131915397160495,-0.0230034205154394,-0.0569287334406863,-0.166558445816342,0.102197733996725
"C2_GS_2018_1063","UgGSC2",-0.285103318938122,1.1002965349739,0.0181621783892915,0.0340024976557867,0.0339422695381887,-0.00116397158140149,-0.18134564559937,0.0890125617839537
"C2_GS_2018_1064","UgGSC2",-0.237770656044026,0.633812079222017,0.00240714003787986,-0.0757999902415935,-0.059145490415738,-0.00586994931056262,-0.151255128940089,0.113836120540041
"C2_GS_2018_1067","UgGSC2",-0.113142928143035,0.672859184936845,-0.00385216346474967,-0.023732298006254,0.105990258809374,0.0324503773264306,-0.216399869051901,0.110914872189528
"C2_GS_2018_1071","UgGSC2",-0.253905668146307,-0.261891762942148,0.054808973199581,0.356383412441985,0.478077063025549,0.133938722911665,0.0560620220682388,-0.285427762430662
"C2_GS_2018_1072","UgGSC2",0.00424372970720988,0.274997518718901,-0.0203363513640885,0.0745757663091979,0.131878521431254,0.10183056884902,0.0559996002769884,-0.228420367997938
"C2_GS_2018_1075","UgGSC2",-0.112721372281094,-0.277014489061211,0.00609874817333382,0.0424720059213057,0.144170622466441,0.0837907430419369,0.165166674050437,-0.281086506131022
"C2_GS_2018_108","UgGSC2",-0.342273541435764,-0.20663060007457,0.0460131567420272,0.0852145372952723,-0.205554347643622,-0.106694218199727,-0.229075643122578,0.0975428107759638
"C2_GS_2018_1080","UgGSC2",-0.337066128713177,0.0313123791363076,0.0221574217464995,0.173152668345392,0.146447470353492,0.0910716336261857,0.137698028889446,0.00451913804695515
"C2_GS_2018_1082","UgGSC2",0.194473318742563,-1.18631957739588,-0.00515770857725829,0.0814797580440285,0.093978487793926,0.120787501930017,0.0743081561508819,0.0656963816712285
"C2_GS_2018_1088","UgGSC2",-0.1564479776503,-0.0141655599456442,-0.0286242102109965,-0.152672001063322,-0.111673064875769,-0.00339992012011344,0.324609699819065,-0.0831250316682222
"C2_GS_2018_1089","UgGSC2",-0.562968137330839,0.324192418087161,0.0177608694048104,0.142224639697879,0.0837296574305705,0.0907725635655433,0.0698915130202175,0.0294739756875606
"C2_GS_2018_1092","UgGSC2",0.0612779610457461,-0.650094096423858,-0.0314498615595562,0.0132742746191557,0.081098477619643,0.14695271035109,0.18198713848535,-0.106639811123937
"C2_GS_2018_1098","UgGSC2",-0.145772172398628,0.264403285808224,0.000558497910147917,0.0971158681123295,-0.0992387810956054,-0.0361207399674166,0.0819078423421591,0.303805959020226
"C2_GS_2018_1099","UgGSC2",-0.11890662299904,-0.686715889904662,-0.00570090849660264,0.109577255988344,0.224968221752453,0.125000755663255,0.0451108041661167,-0.0767439587456925
"C2_GS_2018_110","UgGSC2",-0.183765212008007,-0.59294298344954,0.0397499575069893,0.153935131414608,-0.133952191521953,-0.0880987611635874,-0.095895280320711,0.173675203391313
"C2_GS_2018_1101","UgGSC2",-0.143232491461575,-1.09429085350851,0.0379955850920261,0.0289032585777112,-0.0754814394992825,-0.124021669469462,0.350435799797032,0.16761734907201
"C2_GS_2018_1106","UgGSC2",-0.181862943547028,-1.30349135211341,-0.0273662203315287,-0.142917434932299,-0.0809132093357269,-0.0346077413394493,0.134190946959256,0.197347735721928
"C2_GS_2018_1107","UgGSC2",-0.114804519626725,-1.42183226622356,0.0280328414702904,0.253125953691016,0.158023191980794,0.154804691778837,0.130062912267172,-0.064101381140407
"C2_GS_2018_1117","UgGSC2",-0.260865285116345,0.106864314501911,0.0294174134856036,0.090896885857091,0.0566855918642322,0.04347267894295,-0.138624956262966,-0.285470872713156
"C2_GS_2018_1121","UgGSC2",0.0485792692125029,-0.781618475207002,0.00592700281195103,0.0316828032657309,-0.0798855406855217,0.0340377833513175,0.0218881995165131,-0.120061814226369
"C2_GS_2018_1123","UgGSC2",-0.193146929387373,0.294793321015128,0.080520192790437,0.186785526377511,-0.124132628827082,-0.052563828690131,0.126244253698166,0.162958350290802
"C2_GS_2018_1128","UgGSC2",-0.350755963834052,0.584321268098723,0.0345686850767073,0.0938999433490053,-0.0035521334985248,-0.0244149119973263,-0.0803636959754522,0.101911689014848
"C2_GS_2018_113","UgGSC2",-0.116302687207824,-0.365776505015753,-0.0318084621814317,-0.12241462566807,-0.246957225222195,-0.047267557530847,-0.151474046406129,0.215948133282359
"C2_GS_2018_1132","UgGSC2",0.217745037402308,-0.558216459794699,0.00998079573979197,-0.0223916609916858,-0.127581772438031,-0.0584881210423366,0.133360848214563,0.0670238076778475
"C2_GS_2018_1133","UgGSC2",-0.17645726305807,0.877627018309279,0.0213688206465201,-0.14597723329592,-0.313407660541668,-0.100081243312506,0.170776869884189,0.0967650416233665
"C2_GS_2018_1135","UgGSC2",-0.0421624937712215,0.0795776314548007,0.00860382264097503,-0.135044613460686,-0.0217389375147882,-0.0055334167333666,0.0940610701296549,-0.0911115434902346
"C2_GS_2018_1138","UgGSC2",0.331142325858191,-1.14715259769894,-0.0091260168243743,-0.0172693548587407,-0.0843806886384092,0.087107173397536,-0.0698204931154303,0.113982016215786
"C2_GS_2018_114","UgGSC2",-0.224312097449366,-0.335834989098766,0.0164260452050544,0.0824125577868351,-0.188031795815198,-0.106507798554586,-0.170775631057535,0.0945913239304372
"C2_GS_2018_1148","UgGSC2",-0.254197054240504,-0.0231770188497642,-0.0157131729753559,0.0347013451327493,0.0152688689279554,0.0586043828172601,0.135547525165198,-0.103004423471382
"C2_GS_2018_115","UgGSC2",-0.186478953318487,-0.483265836721409,0.0456059014377082,0.186581405894245,-0.164210705903038,-0.105697176784531,-0.0536494899294504,0.121813634474332
"C2_GS_2018_1154","UgGSC2",0.493564528290843,-0.875516945615845,-0.000569823047104193,0.124560693185158,-0.0680185772655129,0.0334538021550788,0.0432450767074422,-0.0522074414970549
"C2_GS_2018_116","UgGSC2",-0.47696195403511,-0.0165748138048617,0.0562373732544681,0.177558476622208,-0.218462478593352,-0.132111006215384,-0.153328819142604,0.0709287376076792
"C2_GS_2018_1160","UgGSC2",-0.131670179456166,-0.450026739525062,0.0514302653941396,0.00301007475346456,-0.113886097495587,-0.0635511035406221,0.169778359969277,-0.195660776413764
"C2_GS_2018_1161","UgGSC2",-0.0547342292512618,0.071669813498863,0.0228544872584334,-0.0175385763057462,0.0437743726452046,0.00982025190038348,-0.420607882031333,-0.0215781071299493
"C2_GS_2018_1165","UgGSC2",0.528601252671504,-1.10392834764612,-0.0492005736129333,-0.297299368619011,-0.231444393347136,-0.0588373906695164,-0.0624505790929551,-0.10378149922381
"C2_GS_2018_1166","UgGSC2",0.210941357828885,-0.608289628219544,-0.0180210252386276,-0.209163294443467,0.0348654795479218,-0.0739145546652834,0.0937738617589022,-0.0319805406245924
"C2_GS_2018_117","UgGSC2",-0.479406599055156,-0.364374014472858,0.0366303558601755,0.0122466955271134,-0.283577378660981,-0.15731499307152,-0.0275685993420113,0.225202638111155
"C2_GS_2018_1172","UgGSC2",0.389884973601124,-0.300562749893492,-0.0550857631218384,-0.320869239502796,0.241009433503385,-0.0597834756709602,0.115836873299443,-0.289158195783571
"C2_GS_2018_1177","UgGSC2",0.131862257858721,-1.27225247720298,-0.0168061341825299,-0.0582403936993608,-0.0485391466675627,-0.00532911185570436,0.0301145179329447,0.0327319519236268
"C2_GS_2018_118","UgGSC2",-0.265770758188685,0.236749201195488,-0.0111472413703381,-0.10256253926006,-0.0257305112364244,-0.0254307830542435,-0.00617945819428746,0.110897797173341
"C2_GS_2018_1181","UgGSC2",0.461793425800262,-0.723475325933344,-0.0271956689337177,-0.0867399549649141,0.0623111906202646,-0.0497260587377821,0.127507812285553,-0.110152104609138
"C2_GS_2018_119","UgGSC2",-0.157539657567891,-0.717205958668643,0.061394835613935,0.0520104951196523,-0.176572719682268,-0.163933178798232,-0.00838203305012725,0.122601304859733
"C2_GS_2018_1191","UgGSC2",0.151017370588834,-0.633228870404247,-0.00373709918410258,-0.0160041363784708,-0.0968206270699535,-0.0229617453681645,0.131619775443795,0.175876138765729
"C2_GS_2018_12","UgGSC2",-0.195894720039871,1.85066042146651,-0.0356248094679037,0.0926895090609102,0.0867891256570499,0.0870922680864807,-0.181282937222611,0.151759438106249
"C2_GS_2018_1201","UgGSC2",-0.147962960771668,-0.0563490343611842,-0.00593571745683091,0.103271291734005,0.162459842255421,0.072334667358009,0.0124096078407447,0.132605955827317
"C2_GS_2018_1202","UgGSC2",-0.477633690353181,0.674309651272422,0.0376342323026609,0.0726600117051757,0.116382300272519,0.00501516887688573,0.329660786316477,0.179161422386124
"C2_GS_2018_1203","UgGSC2",-0.572233304898757,0.572836091100686,0.0753546064283439,0.148037042534322,0.00469413889715372,-0.018700735091852,0.000953557211184744,0.0949730833836789
"C2_GS_2018_1205","UgGSC2",-0.4673707738083,0.877189308064952,0.000445240795372753,0.0585811886124737,0.123946949195514,0.0598855273481458,0.156165612541324,0.014281062730515
"C2_GS_2018_121","UgGSC2",-0.192347115732684,0.627493432231297,0.0558344437356449,0.289006066954874,0.130259222915115,0.0368574181861513,0.0819230264438285,0.0666547190997352
"C2_GS_2018_1211","UgGSC2",-0.48043885643759,0.343434371548012,0.0232773322062174,0.00186575352467649,0.0556837016912348,-0.0108051645634056,-0.233119236641791,-0.06105485305918
"C2_GS_2018_1213","UgGSC2",-0.136690053825323,-0.502273528300208,-0.010340201173392,0.0640399395925591,0.136967807391309,0.0650650529958824,-0.209547329829946,-0.0899217033822021
"C2_GS_2018_1214","UgGSC2",-0.368925035271048,-0.056769338692044,0.0360413684079228,0.110136430153587,0.107068093191827,-0.0139206232162271,-0.13924314522964,0.134239992636116
"C2_GS_2018_1219","UgGSC2",-0.351377344553608,0.0870755090234233,0.0406402001282835,0.184974990864914,0.217363325234544,-0.00991763323598072,-0.200653666788466,-0.157629377064392
"C2_GS_2018_122","UgGSC2",-0.21814767812566,0.987569377225309,0.000609477686365302,0.132206127149603,0.0715130738433457,0.0983247736685864,-0.235505552550221,0.0552737217131173
"C2_GS_2018_1222","UgGSC2",0.0261390876705616,1.04399739567686,-0.0465621169502135,0.0261056817751882,0.102674796417852,0.151045153073701,0.0301147342740725,-0.0801480396900033
"C2_GS_2018_1224","UgGSC2",-0.102110047950911,1.17550999731471,0.0253947800960297,0.149878991382454,0.21590881746348,-0.0371207169915681,0.0305454799724396,0.161872007392132
"C2_GS_2018_1228","UgGSC2",-0.231968872292227,1.30288704843064,-0.00992925890392681,0.0934228505804639,0.0623298787742627,0.0730897397023628,0.0631194710772073,-0.0412106811336111
"C2_GS_2018_123","UgGSC2",0.0114205414868704,0.302623803071087,0.000403424829804414,0.00111111310931397,-0.01614663156098,-0.00195560459026542,0.036823381903763,0.0723551781477315
"C2_GS_2018_1230","UgGSC2",-0.271612952915457,1.11805986954574,-0.0321567984944065,0.0663647931991566,-0.011888635921889,0.0751064421889781,-0.0329176407413329,-0.150396639603005
"C2_GS_2018_1232","UgGSC2",-0.251610843622976,1.81681238689474,-0.0293568565512871,-0.0676407292538113,0.0868701424255628,0.00513822630016199,0.100785451135156,0.0734142248350658
"C2_GS_2018_1234","UgGSC2",-0.463415258509322,0.971390039869535,0.00777075538707577,0.238596619862711,0.328686752444854,0.09581588831401,-0.0257422077081308,0.00539197595638514
"C2_GS_2018_1236","UgGSC2",-0.0909631044270788,0.704268650772517,-0.0194186044404984,-0.0699109896158029,-0.07935429248966,0.00181315169617381,-0.00388042794074799,0.0797046245331909
"C2_GS_2018_1239","UgGSC2",-0.0578289560519685,1.63763193679982,-0.0178784357464233,0.263285691790755,0.16092913154994,0.1940120237766,-0.0189787020726314,0.0106847609380936
"C2_GS_2018_124","UgGSC2",-0.315116997206858,1.76968646923356,0.0401294475766098,0.29437690816048,0.196473490309637,0.108400269462385,-0.157948577563989,0.0423455583010782
"C2_GS_2018_1242","UgGSC2",-0.323083068716928,2.48264193727147,0.0107474636556511,0.0748349299367115,0.214372819672542,0.0422453368678964,0.121632153031061,0.023760464451572
"C2_GS_2018_1243","UgGSC2",-0.120274729893319,1.53861650071642,-0.0314679550422209,-0.0416219956030074,-0.0492532708147247,0.0490753468695599,-0.0246916031422369,0.12073319748161
"C2_GS_2018_1244","UgGSC2",-0.0647388961557934,2.08692503288293,-0.0989914701587011,-0.184444308626685,-0.04400198147303,0.0519981895445799,0.0588491126065092,0.150769108888519
"C2_GS_2018_1245","UgGSC2",-0.270483032093509,2.0060520560168,-0.0276584883750736,0.0575879709781184,-0.00484302378704078,0.0355663651833318,-0.113501194876281,0.211414863851561
"C2_GS_2018_1249","UgGSC2",-0.525144389118115,2.5449705978597,-0.0185633958177612,0.209057475365371,0.20437223961529,0.126473380696629,0.0750655506764996,0.144265216355592
"C2_GS_2018_125","UgGSC2",0.153006260429026,0.553344575387346,-0.011823958046471,-0.0264210616495532,0.0384724950767525,0.0485747262302143,-0.126386811641373,0.0661625670513928
"C2_GS_2018_1251","UgGSC2",-0.182235585447508,-0.147093714816451,-0.0250837345876703,-0.0603453609082298,0.0271955126188501,0.0374289911490149,0.227244809579713,-0.21354037537119
"C2_GS_2018_1252","UgGSC2",0.0938567110808252,-0.568000294339663,-0.0774442151030124,-0.179785000912361,0.00499056065159498,0.0470723166506738,-0.0205126248246751,0.0334566618255496
"C2_GS_2018_1253","UgGSC2",-0.190080532675678,-0.94675727512138,-0.0011998483957561,-0.0193714916825727,-0.0925546542311661,-0.0169048774583827,0.373849737073172,0.0850727518540183
"C2_GS_2018_1255","UgGSC2",0.244212169771417,-0.511710462856706,-0.0190577492649969,-0.0302052575181382,-0.120018009478085,0.0495151416855057,0.0880007489063042,-0.121163726683489
"C2_GS_2018_1256","UgGSC2",-0.256399591077086,-1.12455407999754,-0.0134888759664082,0.0909643308685218,0.116232462029965,0.120407941460557,-0.0888052549884827,-0.178778785343041
"C2_GS_2018_1257","UgGSC2",-0.112576544691706,-0.814550274546743,-0.0260341076561557,-0.0419484831177145,0.00431001829790938,0.0843470796384007,0.104032930894602,-0.134546634876863
"C2_GS_2018_1259","UgGSC2",-0.427899006130536,-0.110748711962014,0.0608059041636362,0.196192229464731,0.116020071058899,0.0604836025643092,0.108302048643179,-0.274254549247785
"C2_GS_2018_1262","UgGSC2",-0.0547184179451182,-0.504688499329284,0.0206803954000219,0.275161515777968,0.210363443635986,0.124014289585965,0.0243229867944943,-0.17963501890118
"C2_GS_2018_1267","UgGSC2",-0.245957256402653,-0.104253525741568,-0.00583228227695968,-0.11427341478847,0.0387924152432542,0.0217438435954872,0.275273161913571,-0.300633942896017
"C2_GS_2018_1268","UgGSC2",0.127787637928203,-0.384448358778222,-0.0363126685098517,-0.0748755407382886,-0.0581712223926638,0.0976949436208533,-0.0530799551669994,-0.0601678860489906
"C2_GS_2018_127","UgGSC2",0.0255101666365955,-0.577475747160376,0.0081646613263813,0.0677090899917016,0.04914189738392,0.100634998453491,0.112345869966849,0.173930649487834
"C2_GS_2018_1270","UgGSC2",-0.147178469441213,-0.27954736598157,-0.0194246307047027,-0.0140741754237701,0.215702372051277,0.0825112988241699,0.176325167754656,-0.0234583485670114
"C2_GS_2018_1275","UgGSC2",-0.0427344931502547,-1.02962321819733,0.0133707173108447,0.0413886829551522,0.0255306312339923,0.0626626158271347,0.0618754445894434,-0.0658855132718926
"C2_GS_2018_1278","UgGSC2",-0.0987968032380559,0.164971679537185,-0.0257093311963755,-0.0796555693617084,0.0518130651914861,0.0500517334732607,0.153135904528367,0.0191592798272742
"C2_GS_2018_1279","UgGSC2",0.197638591907446,-0.275214657821805,-0.0144931992131931,-0.146843041843209,0.0232151841611674,0.020498478463802,0.211418127531233,-0.0779162238111919
"C2_GS_2018_128","UgGSC2",-0.046213485330579,-0.372971432621025,0.00119159695335155,-0.0120567434348524,0.104078621534996,-0.00245844421675635,-0.00507406910987984,0.0700106752948537
"C2_GS_2018_1281","UgGSC2",-0.156772465154223,-0.191373984204286,-0.0447633123944101,-0.149951638437001,-0.0527692779448531,0.0402854804481773,0.0353233367194876,0.032340071083975
"C2_GS_2018_1284","UgGSC2",0.088300921137083,-0.0440168839145978,-0.00546645976012075,-0.164739198126887,-0.0154553365388559,-0.00170575274579008,0.0459024997167309,-0.253865313262529
"C2_GS_2018_1288","UgGSC2",-0.409704671691178,0.139941644173896,0.000924489840262817,-0.0220713065853663,0.0570737033906545,0.0326271479086612,0.122385520825786,-0.0833683702774496
"C2_GS_2018_1289","UgGSC2",-0.169585581355827,-0.0718035541594289,-0.0147484116511408,-0.012325624272657,0.00121798768451061,0.0869198909824817,0.194342992222265,0.0380966391110496
"C2_GS_2018_129","UgGSC2",-0.0514638156702324,0.990656264685898,0.0202251419988664,0.00525650287598042,-0.00622250251155159,0.00510450971032067,-0.139492770309476,0.311323840687157
"C2_GS_2018_1291","UgGSC2",-0.43691705714948,0.649050584449131,0.0693059461032894,0.345365023128475,0.251887318768611,-0.0165297273016861,-0.326712516657873,-0.0159401941210705
"C2_GS_2018_1294","UgGSC2",-0.0972321146777953,0.630013970681948,0.0324706597091128,0.123503133499864,0.0391007759903444,-0.0183577878514853,0.259003544052897,0.121516798173475
"C2_GS_2018_1296","UgGSC2",-0.359621807277653,-0.116730343608022,0.0207070530215759,0.337605569763527,0.374919210172704,0.18783617391701,0.0379731378597671,-0.264884151058526
"C2_GS_2018_13","UgGSC2",-0.403719253975417,1.84055018048151,-0.0199166209231616,0.150140589280133,0.110281392144436,0.120736461762218,0.0187062104315066,-0.0709850587965841
"C2_GS_2018_131","UgGSC2",0.285668866285442,0.311971657240603,-0.0117632945376871,-0.029076362501021,-0.00834740575038283,-0.00839090995570704,-0.152825038655372,0.230584895033386
"C2_GS_2018_1315","UgGSC2",-0.0181770868047265,0.440892649441303,-0.00281799330481222,0.0533428281418791,-0.0265307810290472,0.0599598030330576,-0.078556591889841,0.156480041062823
"C2_GS_2018_1317","UgGSC2",0.35584764922856,-0.601672319880734,-0.0499066590394558,-0.347350166726802,-0.157158115415091,-0.0836203332846707,0.0668239559240534,0.0407398807478339
"C2_GS_2018_1323","UgGSC2",-0.103031848406216,-0.806920044663742,0.0301395693179869,0.138748495218002,0.355983636059206,0.0101782468438879,0.0324005176090676,-0.0216207790778006
"C2_GS_2018_1324","UgGSC2",0.353931302795836,-0.960557122680811,-0.00795918640698677,-0.0373525784124704,0.208349863322168,-0.00799864159967255,0.144976222997778,0.0858557122918021
"C2_GS_2018_1326","UgGSC2",0.616123284863147,-0.991993514749875,-0.107395030135771,-0.344311137332557,-0.157843341227767,0.0140379306242424,0.161420295281836,-0.0290245757807821
"C2_GS_2018_1331","UgGSC2",0.755287078478572,-0.99898313523261,-0.0477953925576131,-0.325852807841355,-0.123991047014123,-0.0979924180776181,-0.00694112133587169,0.0165658752272651
"C2_GS_2018_1334","UgGSC2",-0.0122945844196833,-0.569196364885173,-0.00279480884596267,-0.068961422860992,0.000596104036189809,-0.074817826794781,0.174837997924223,0.0405776986673598
"C2_GS_2018_1337","UgGSC2",-0.0645520032325929,-0.110930282684054,-0.0133904869735997,-0.108801011594623,0.257803307262872,-0.0063869707832116,-0.0179073068712526,-0.183337504077252
"C2_GS_2018_1339","UgGSC2",0.481641690048837,-0.923651478658034,-0.0405403453870262,-0.338278924503813,-0.116761517223599,-0.101538700631347,0.287129881402398,-0.176907920927375
"C2_GS_2018_134","UgGSC2",0.0109992800412373,0.914016446959612,-0.00344620475564859,0.11336011417919,0.0987146401724825,0.0860775643962911,-0.257971517864993,0.179495338818282
"C2_GS_2018_1340","UgGSC2",-0.134817358566515,-0.213767333592473,0.0339837863553949,0.131927341794218,0.00421289855076394,-0.0142852951745694,0.144726838725716,0.0970372298698673
"C2_GS_2018_1341","UgGSC2",0.296633772133495,-1.11461972308757,-0.0459501307112491,-0.183232486947916,0.000458789043031139,-0.0115253137237363,-0.00532201301923188,-0.225549651175389
"C2_GS_2018_135","UgGSC2",0.0730961668796097,0.830407234296081,0.000412550373802623,0.0749340848405309,0.0680923617453569,0.0499488319784239,-0.193778671221207,0.147880919339318
"C2_GS_2018_1353","UgGSC2",0.57047492608343,-0.570186334377972,-0.0349108148393784,-0.288475948891887,-0.128168417790795,-0.100293605507033,0.18618099888702,-0.00662105156968359
"C2_GS_2018_1355","UgGSC2",0.517984010986666,-0.610995682609138,-0.0279009523384712,-0.206338683473358,0.104582368807422,-0.086393302084242,0.136739554840853,-0.0346452611649103
